no,no_induk,no_barcode,no_rfid,media,judul_utama,deskripsi,tajuk_pengarang,edisi,penerbit,tahun_terbit,jumlah_halaman,isbn,no_ddc,nomor_panggil_katalog,kategori,bahasa,subjek_topik
1,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting & auditing research  ,"Buku yang membahas riset dalam bidang akuntansi dan audit, fokus pada metodologi dan praktik penelitian.","Thoas R. Weirich, Thomas C. Pearson, Alan Reinstein",4,"Thomson, ",2004,100,"9,78007E+10",657,657,Accounting/Akuntansi,inggris,accounting
2,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Priciples of accounting  ,"Pengantar prinsip dasar akuntansi, biasanya untuk mahasiswa pemula atau non-akuntan.",Dupree,4,"Addison-Wesley Publishing Company, ",1984.,100,"9,78007E+11",657,657,Accounting/Akuntansi,inggris,akuntansi
3,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Fundamental financial accounting concepts  ,Menjelaskan konsep fundamental akuntansi keuangan sebagai landasan analisis laporan keuangan.," Edmonds,Cindy D.",4,"McGraw-Hill, ",2006,100,"9,78007E+12",657,657,Accounting/Akuntansi,inggris,akuntansi
4,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Accounting  ,"Buku umum tentang akuntansi, membahas teori dasar hingga praktik akuntansi.","Kimmel, Paul D.",4,"John Wiley & Sons Inc., ",2008,100,"9,78007E+13",657,657,Accounting/Akuntansi,inggris,accounting
5,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Riset akuntansi  ,"Buku lokal mengenai metode penelitian dalam akuntansi, termasuk topik kuantitatif dan kualitatif.","Umar, Husein",4,"Gramedia Pustaka Utama, ",1998,100,"9,78007E+14",657,657,Accounting/Akuntansi,indonesia,akuntansi
6,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Standar pelaporan keuangan internasional    pedoman praktis,Panduan praktis penerapan IFRS (International Financial Reporting Standards).,Hennie Van Greuning,4,"Salemba Empat, ",2005,100,"9,78007E+15",657,657,Accounting/Akuntansi,indonesia,agribisnis
7,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Advanced accounting,"Membahas akuntansi lanjutan, termasuk konsolidasi laporan keuangan dan transaksi kompleks.",Daniel L. Jensen,4,"McGraw-Hill, ",1994,100,"9,78007E+16",657,657,Accounting/Akuntansi,inggris,akuntansi
8,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Teori akunting,Buku teori akuntansi dengan pembahasan konsep-konsep filosofis dan dasar penyusunan standar.,"Elson S. Hendriksen, Michael F. van Breda ; alih bahasa Herman Wibowo",4,"Interaksara, ",2000,100,"9,78007E+17",657,657,Accounting/Akuntansi,indonesia,agribisnis 
9,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Principles of accounting for non-accounting professionals, 3rd Ed.  ","Prinsip akuntansi untuk profesional non-akuntan, dengan bahasa yang lebih praktis.","Man, Lee Tat",4,"Prectice Hall, ",2001,100,"9,78007E+18",657,657,Accounting/Akuntansi,inggris,akuntansi
10,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Teori akuntansi,Fokus pada kerangka konseptual dan teori-teori dasar akuntansi.,Ahmed Belkaoui ; alih bahasa Herman Wibowo,4,garuda indonesia,1997,100,"9,78007E+19",657,657,Accounting/Akuntansi,indonesia,agribisnis 
11,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Introduction to accounting  ,Buku pengantar akuntansi dasar untuk mahasiswa atau pemula.,"Ainsworth, Penne",4,"Irwin McGraw-Hill, ",2000,100,"9,78007E+20",657,657,Accounting/Akuntansi,inggris,accounting
12,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Accounting  a business perspective,"Menjelaskan akuntansi dari perspektif bisnis, menekankan pada aplikasi praktis.","Hermanson, Roger H.",4,"Irwin, ",1995,100,"9,78007E+21",657,657,Accounting/Akuntansi,indonesia,akuntansi
13,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Introduction to financial accounting,"Edisi ke-9 buku pengantar akuntansi keuangan, karya Horngren dkk.","Horngren, Charles T.",4,"Prentice Hall, ",2004,100,"9,78007E+22",657,657,Accounting/Akuntansi,inggris,accounting
14,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Introduction to financial accounting a user perspective,Membahas akuntansi keuangan dari sudut pandang pengguna laporan keuangan.,Kumen H. Jones ,4,"Prentice Hall, ",2000,100,"9,78007E+23",657,657,Accounting/Akuntansi,inggris,cell biology
15,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Advanced accounting ,Buku akuntansi lanjutan yang sering dipakai di tingkat lanjut perkuliahan.,"Pahler, Arnold J.",4,"The Dryden Press, ",2000,100,"9,78007E+24",657,657,Accounting/Akuntansi,inggris,akuntansi
16,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Dasar-dasar akuntansi  ,"Pengantar akuntansi dasar, digunakan untuk pemahaman awal sebelum ke tahap lanjutan.","Sadeli,Lili M.",4,"Bumi Aksara, ",2002,100,"9,78007E+25",657,657,Accounting/Akuntansi,indonesia,agribisnis 
17,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Masalah akuntansi,Membahas berbagai permasalahan akuntansi praktis dan teoretis.,S. Hadibroto,4,Lembaga penerbit Fak. Ekonomi Univ. Indonesia ,1987,100,"9,78007E+26",657,657,Accounting/Akuntansi,indonesia,akuntansi
18,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Pelajaran akuntansi ,"Buku pelajaran akuntansi dasar, biasanya untuk level SMA atau perguruan tinggi awal.","Simangunsong,A.O.",4,"Dharma Karsa Utama, ",1996,100,"9,78007E+27",657,657,Accounting/Akuntansi,indonesia,akuntansi
19,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Sistem akuntansi dan informasi,  ",Membahas sistem akuntansi terkomputerisasi dan sistem informasi akuntansi.,"Wilkinson, Joseph W., 1960-   \epengarang",4,"Erlangga,  ",1994,100,"9,78007E+28",657,657,Accounting/Akuntansi,indonesia,akuntansi
